id,Source,target(zh-CN),target(en-US),target(zh-HK)
ccfe-000000001,企业ID,企业ID,Enterprise ID,企業ID
ccfe-000000002,请输入企业ID,请输入企业ID,Please enter the enterprise ID,請輸入企業ID
ccfe-000000003,修改企业标识会影响所有用户的登录账号，修改后要使用带有新后缀名的账号才能成功登录客户端。例如原登录账号为test01.ABCD，更新企业标识为AAAA，则登录账号会更新为test01.AAAA,修改企业标识会影响所有用户的登录账号，修改后要使用带有新后缀名的账号才能成功登录客户端。例如原登录账号为test01.ABCD，更新企业标识为AAAA，则登录账号会更新为test01.AAAA,"Modifying the enterprise ID will affect the login accounts of all users. After modification, you must use an account with a new suffix to successfully log in to the client. For example, if the original login account is test01.ABCD and the enterprise ID is updated to AAAA, the login account will be updated to test01.AAAA",修改企業標識會影響所有用戶的登錄賬號，修改後要使用帶有新後綴名的賬號才能成功登錄客戶端。例如原登錄賬號為test01.ABCD，更新企業標識為AAAA，則登錄賬號會更新為test01.AAAA
ccfe-000000004,取消,取消,cancel,取消
ccfe-000000005,确定,确定,confirm,確定
ccfe-000000006,设置,设置,set up,設置
ccfe-000000007,修改,修改,modify,修改
ccfe-000000008,修改企业ID成功,修改企业ID成功,Successfully modified enterprise ID,修改企業ID成功
ccfe-000000009,修改企业ID失败,修改企业ID失败,Failed to modify enterprise ID,修改企業ID失敗
ccfe-000000010,配置信息,配置信息,configuration information,配置信息
ccfe-000000011,配置项,配置项,Configuration Item,配置項
ccfe-000000012,双因子认证登录,双因子认证登录,Dual factor authentication login,雙因子認證登錄
ccfe-000000013,开启双因子认证登录后，若政企版用户有绑定手机号并,开启双因子认证登录后，若政企版用户有绑定手机号并,"After the dual factor authentication login is enabled, if the government enterprise version user has a bound mobile phone number and",開啟雙因子認證登錄後，若政企版用戶有綁定手機號並
ccfe-000000014,且使用登录账号（包括手机号）+密码登录时，每次登,且使用登录账号（包括手机号）+密码登录时，每次登,And when using login account (including mobile phone number)+password to login,且使用登錄賬號（包括手機號）+密碼登錄時，每次登
ccfe-000000015,录必须通过短信验证才能完成登录，请及时给政企版用,录必须通过短信验证才能完成登录，请及时给政企版用,Login can only be completed after SMS verification. Please give it to the government enterprise edition in time,錄必須通過短信驗證才能完成登錄，請及時給政企版用
ccfe-000000016,户绑定手机号，公众版用户仅服从全局配置,户绑定手机号，公众版用户仅服从全局配置,"Users bind mobile phone numbers, and public users only obey the global configuration",戶綁定手機號，公眾版用戶僅服從全局配置
ccfe-000000017,关闭,关闭,close,關閉
ccfe-000000018,开启,开启,open,開啟
ccfe-000000019,设备可信认证,设备可信认证,Device trusted authentication,設備可信認證
ccfe-000000020,可强制限制用户可信认证设备的数量,可强制限制用户可信认证设备的数量,The number of trusted authentication devices of users can be forcibly limited,可強制限制用戶可信認證設備的數量
ccfe-000000021,请输入可信设备数量,请输入可信设备数量,Please enter the number of trusted devices,請輸入可信設備數量
ccfe-000000022,当前设备可信认证数量上限,当前设备可信认证数量上限,Maximum number of trusted authentications for the current device,當前設備可信認證數量上限
ccfe-000000023,密码定期强制更新,密码定期强制更新,Password is forced to be updated regularly,密碼定期強制更新
ccfe-000000024,可强制要求用户在指定周期内修改密码,可强制要求用户在指定周期内修改密码,The user can be forced to change the password within a specified period,可強制要求用戶在指定週期內修改密碼
ccfe-000000025,请选择密码强制更新周期,请选择密码强制更新周期,Please select the mandatory password update cycle,請選擇密碼強制更新週期
ccfe-000000026,联系人信息,联系人信息,"contact information ",聯繫人信息
ccfe-000000027,用于客户端上展示，方便终端用户快速联系企业管理员,用于客户端上展示，方便终端用户快速联系企业管理员,"It is used for display on the client, so that the end user can quickly contact the enterprise administrator",用於客戶端上展示，方便終端用戶快速聯繫企業管理員
ccfe-000000028,姓名,姓名,name,姓名
ccfe-000000029,请输入姓名,请输入姓名,Please enter your name,請輸入姓名
ccfe-000000030,联系方式,联系方式,Contact information,聯繫方式
ccfe-000000031,请输入联系方式,请输入联系方式,Please enter contact information,請輸入聯繫方式
ccfe-000000032,无限制,无限制,Unlimited,無限制
ccfe-000000033,1个月,1个月,1 month,1個月
ccfe-000000034,6个月,6个月,6 months,6個月
ccfe-000000035,12个月,12个月,12 months,12個月
ccfe-000000036,查询可信设备认证数量上限异常,查询可信设备认证数量上限异常,Exception in querying the upper limit of trusted device authentication,查詢可信設備認證數量上限異常
ccfe-000000037,获取租户详情失败,获取租户详情失败,Failed to get tenant details,獲取租戶詳情失敗
ccfe-000000038,开启双因子登录认证,开启双因子登录认证,Enable dual factor login authentication,開啟雙因子登錄認證
ccfe-000000039,开启双因子认证登录后，若政企版用户有绑定手机号并且使用登录账号（包括手机号）+密码登录时，每次登录必须通过短信验证才能完成登录，请及时在【用户组】给用户绑定手机号,开启双因子认证登录后，若政企版用户有绑定手机号并且使用登录账号（包括手机号）+密码登录时，每次登录必须通过短信验证才能完成登录，请及时在【用户组】给用户绑定手机号,"After enabling the dual factor authentication login, if the government enterprise version user has a mobile phone number bound and uses the login account (including mobile phone number)+password to login, each login must pass SMS verification to complete the login. Please bind the user's mobile phone number in [User Group] in time",開啟雙因子認證登錄後，若政企版用戶有綁定手機號並且使用登錄賬號（包括手機號）+密碼登錄時，每次登錄必須通過短信驗證才能完成登錄，請及時在【用戶組】給用戶綁定手機號
ccfe-000000040,修改双因子登录认证成功,修改双因子登录认证成功,Modification of dual factor login authentication succeeded,修改雙因子登錄認證成功
ccfe-000000041,配置成功,配置成功,Configuration succeeded,配置成功
ccfe-000000042,修改设备认证数量成功,修改设备认证数量成功,Successfully modified the equipment certification quantity,修改設備認證數量成功
ccfe-000000043,修改密码强制更新时间成功,修改密码强制更新时间成功,Successfully modified the forced update time of password,修改密碼強制更新時間成功
ccfe-000000044,请输入联系人姓名,请输入联系人姓名,Please enter the contact name,請輸入聯繫人姓名
ccfe-000000045,姓名支持最大长度为30字符,姓名支持最大长度为30字符,The maximum length of the name is 30 characters,姓名支持最大長度為30字符
ccfe-000000046,修改联系人姓名成功,修改联系人姓名成功,Successfully modified contact name,修改聯繫人姓名成功
ccfe-000000047,请输入5-12位数字,请输入5-12位数字,Please enter 5-12 digits,請輸入5-12位數字
ccfe-000000048,修改联系方式成功,修改联系方式成功,Successfully modified contact information,修改聯繫方式成功
ccfe-000000049,创建漫游任务,创建漫游任务,Create a roaming task,創建漫遊任務
ccfe-000000050,1.创建漫游任务时，请确保电脑已经关机，可通过控制台实例管理列表进行关机操作，若未关机，当前的使用可能存在异常问题；,1.创建漫游任务时，请确保电脑已经关机，可通过控制台实例管理列表进行关机操作，若未关机，当前的使用可能存在异常问题；,"1. When creating a roaming task, please ensure that the computer has been turned off. You can turn off the computer through the console instance management list. If it is not turned off, there may be abnormal problems in the current use;",1.創建漫遊任務時，請確保電腦已經關機，可通過控制檯實例管理列表進行關機操作，若未關機，當前的使用可能存在異常問題；
ccfe-000000051,2.在创建漫游任务过程中，请勿对所选电脑及其相关资源进行其他操作，包括但不限于连接、开机、关机、重启、重装系统、变更规格、挂载数据盘等电脑操作；,2.在创建漫游任务过程中，请勿对所选电脑及其相关资源进行其他操作，包括但不限于连接、开机、关机、重启、重装系统、变更规格、挂载数据盘等电脑操作；,"2. In the process of creating a roaming task, do not perform other operations on the selected computer and its related resources, including but not limited to computer operations such as connecting, starting, shutting down, restarting, reinstalling the system, changing specifications, attaching data disks, etc;",2.在創建漫遊任務過程中，請勿對所選電腦及其相關資源進行其他操作，包括但不限於連接、開機、關機、重啟、重裝系統、變更規格、掛載數據盤等電腦操作；
ccfe-000000052,3.漫游完成后，该部分订单数据需去迁移后的资源下查看；,3.漫游完成后，该部分订单数据需去迁移后的资源下查看；,"3. After roaming, this part of order data needs to be viewed under the migrated resources;",3.漫遊完成後，該部分訂單數據需去遷移後的資源下查看；
ccfe-000000053,4.漫游完成后，云电脑系统盘和数据盘均恢复至初始状态、原有的配置和数据均会丢，请谨慎操作！,4.漫游完成后，云电脑系统盘和数据盘均恢复至初始状态、原有的配置和数据均会丢，请谨慎操作！,"4. After roaming, the cloud computer system disk and data disk will return to their original state, and the original configuration and data will be lost. Please be careful!",4.漫遊完成後，雲電腦系統盤和數據盤均恢復至初始狀態、原有的配置和數據均會丟，請謹慎操作！
ccfe-000000054,云电脑ID,云电脑ID,Cloud PC ID,雲電腦ID
ccfe-000000055,云电脑名称,云电脑名称,Cloud PC name,雲電腦名稱
ccfe-000000056,所属资源池,所属资源池,Resource pool,所屬資源池
ccfe-000000057,所属可用区,所属可用区,Zone,所屬可用區
ccfe-000000058,所属网络工作区,所属网络工作区,Network Workspace,所屬網絡工作區
ccfe-000000059,规格,规格,Specifications,規格
ccfe-000000060,当前状态不支持迁移,当前状态不支持迁移,Migration is not supported in the current state,當前狀態不支持遷移
ccfe-000000061,漫游资源池,漫游资源池,Roaming resource pool,漫遊資源池
ccfe-000000062,请选择漫游资源池,请选择漫游资源池,Please select roaming resource pool,請選擇漫遊資源池
ccfe-000000063,漫游可用区,漫游可用区,Roaming zone,漫遊可用區
ccfe-000000064,请选择漫游可用区,请选择漫游可用区,Please select roaming zone,請選擇漫遊可用區
ccfe-000000065,漫游网络工作区,漫游网络工作区,Roaming Network Workspace,漫遊網絡工作區
ccfe-000000066,请选择漫游网络工作区,请选择漫游网络工作区,Please select roaming network workspace,請選擇漫遊網絡工作區
ccfe-000000067,创建,创建,establish,創建
ccfe-000000068,请输入,请输入,Please enter,請輸入
ccfe-000000069,漫游迁移任务提交成功,漫游迁移任务提交成功,Successfully submitted roaming migration task,漫遊遷移任務提交成功
